Name,Description,Buy_Price_Leaves,Sell_Price_Leaves,Item_Type
Healing Grape,Restores HP to a single ally.,50,5,Consumables
Healing Grape (M),Greatly restores HP to a single ally.,260,26,Consumables
Healing Grape Bunch,Restores HP to all allies.,720,72,Consumables
Shady Grape Bunch,"Greatly restores HP to all allies, but reduces physical defense for 3 turns.",1480,148,Consumables
Inspiriting Plum,Restores SP to a single ally.,240,24,Consumables
Inspiriting Plum (M),Greatly restores SP to a single ally.,900,90,Consumables
Inspiriting Plum Basket,Restores SP to all allies.,2160,216,Consumables
Shady Inspiriting Plum,"Greatly restores SP to all allies, but reduces elemental defense for 3 turns.",4460,446,Consumables
Energizing Pomegranate,Restores BP to a single ally.,300,30,Consumables
Energizing Pomegranate (M),Greatly restores BP to a single ally.,760,76,Consumables
Energizing Pomegranate (L),Massively restores BP to a single ally.,3360,336,Consumables
Shady Energizing Pomegranate,,4980,498,Consumables
Empowering Lychee,Fills the latent power gauge of a single ally.,300,30,Consumables
Empowering Lychee (M),Greatly fills the latent power gauge of a single ally.,1100,110,Consumables
Empowering Lychee (L),Massively fills the latent power gauge of a single ally.,2300,230,Consumables
Refreshing Jam,Fully restores HP and SP to a single ally.,15000,1500,Consumables
Reinforcing Jam,"Fully restores BP to a single ally, and fills their latent power gauge.",15000,2500,Consumables
Revitalizing Jam,"Fully restores HP, SP, and BP to a single ally.",20000,2000,Consumables
Rejuvenating Jam,"Fully restores HP, SP, and BP to a single ally, and fills their latent power gauge.",30000,3000,Consumables
Olive of Life,Revives and restores HP to a single fallen ally.,500,50,Consumables
Olive of Life (M),Revives and greatly restores HP to a single fallen ally.,3000,300,Consumables
Olive of Life (L),Revives and fully restores HP to a single fallen ally.,20000,2000,Consumables
Almighty Olive,Revives and fully restores HP to all allies.,60000,6000,Consumables
Herb of Healing,Cures a single ally of poison.,30,3,Consumables
Herb of Clamor,Cures a single ally of silence.,30,3,Consumables
Herb of Light,Cures a single ally of blindness.,30,3,Consumables
Herb of Clarity,Cures a single ally of confusion.,30,3,Consumables
Herb of Awakening,Awakens a single sleeping ally.,30,3,Consumables
Herb of Valor,Cures a single ally of terror.,30,3,Consumables
Herb of Revival,Revives a single unconscious ally.,30,3,Consumables
Herb Elixir,Cures a single ally of status ailments.,600,60,Consumables
Bottle of Poison Dust,Inflicts poison on a single foe with a given probability.,600,60,Consumables
Bottle of Blinding Dust,Inflicts blindness on a single foe with a given probability.,600,60,Consumables
Bottle of Befuddling Dust,Inflicts confusion on a single foe with a given probability.,600,60,Consumables
Bottle of Sleeping Dust,Inflicts sleep on a single foe with a given probability.,600,60,Consumables
Bottled Nightmares,"Inflicts poison, blindness, confusion, and sleep on a single foe with a given probability.",3000,100,Consumables
Fire Soulstone,Deals fire damage to all foes.,700,70,Consumables
Fire Soulstone (M),Deals great fire damage to all foes.,1700,170,Consumables
Fire Soulstone (L),Deals massive fire damage to all foes.,6300,630,Consumables
Ice Soulstone,Deals ice damage to all foes.,700,70,Consumables
Ice Soulstone (M),Deals great ice damage to all foes.,1700,170,Consumables
Ice Soulstone (L),Deals massive ice damage to all foes.,6300,630,Consumables
Thunder Soulstone,Deals lightning damage to all foes.,700,70,Consumables
Thunder Soulstone (M),Deals great lightning damage to all foes.,1700,170,Consumables
Thunder Soulstone (L),Deals massive lightning damage to all foes.,6300,630,Consumables
